,mbta_part_number,description,mfg,mfg_itm_id
0,00118006,"STEEL-5/16"" ROUND POLISHED DRILL ROD",HEATHCOTE,GRADE O-1
1,00118009,"DRILL ROD - 1/2"" ROUND POLISHED STEEL",GENERIC,GRADE O-1
2,00170003,"ROD-WELDING-CARBON STEEL 1/8"" AWS-A5.18-ER70S-2",WELDERS,OX WELD 7
3,00170004,"ROD,EXTRACT ALLOY 3/ 32 (5LB. PACKAGE)",X-ERGON,L004-50000
4,00170005,"ROD, EXTRACT ALLOY 1 /8 (5 LB. PACKAGE)",X-ERGON,L004-4-0000
5,00170006,WIRE WELDING - 1/8 X .660 NH TM AC/DC ELECTRODE,ALL WELD,#66XHD
6,00170009,"ROD-WELDING-MILD STEEL 1/8"" AWS-E6011",COLONY,"1/8"""
7,00170010,"ROD-WELDING, MILD STEEL 3/32"" AWS-A5.1-E6011",ALL WELD,#230 ACP 611
8,00170011,"ROD-WELDING-CARBON STEEL 3/32 "" AWS-A5.1 - E-7018",DA-VIN CO,MS1120
9,00170012,"ROD-WELDING,LOW HY-S TEEL 5/32"" AWS-A5.5 E8016-C1",DA-VIN CO,5/32-MS1140
10,00170035,"ROD-WELDING, COPPER 1/8"" AWS-A5.27-RCUZN-B",EUTECTIC,NO 146 FC
11,00170046,"ROD-WELDING-CAST IRON 1/8"" AWS-A5.15-ENIFE-15",CERTANIUM,#889 NO.12550
12,00170046,"ROD-WELDING-CAST IRON 1/8"" AWS-A5.15-ENIFE-15",COLONY INC,MG 289
13,00170046,"ROD-WELDING-CAST IRON 1/8"" AWS-A5.15-ENIFE-15",DA-VIN CO,CI-3100
14,00170046,"ROD-WELDING-CAST IRON 1/8"" AWS-A5.15-ENIFE-15",EUTECTIC,AC58110
15,00170050,"ELECTRODE-STAIN STEEL 1/8"" AWS-A5.15-EN1CRFE-5",ALLSTATE,275
16,00170050,"ELECTRODE-STAIN STEEL 1/8"" AWS-A5.15-EN1CRFE-5",CERTANIUM,707 NO. 12330
17,00170050,"ELECTRODE-STAIN STEEL 1/8"" AWS-A5.15-EN1CRFE-5",COLONY INC,MG 600
18,00170050,"ELECTRODE-STAIN STEEL 1/8"" AWS-A5.15-EN1CRFE-5",EUTECTIC,AS50110
19,00170051,"ELECTRODE-STAIN STEEL 3/32"" AWS-A5.4-E312-16",ALLOY,312
20,00170053,ROD 5/32 STEEL WELDING HOBART,GENERIC,6010
21,00170054,"ROD-WELDING-MILD STEEL 1/8"" AWS-A5.1 E6010",WELDERS,6010
22,00170057,"ROD-WELDING MILD STEEL 1/8"" AWS-A5.1-E6013 MSDS",DA-VIN,MS-1100
23,00170058,"ROD-WELDING MILD STEEL 5/32"" AWS-A5.1-E6011",CERTANIUM,701
24,00170058,"ROD-WELDING MILD STEEL 5/32"" AWS-A5.1-E6011",DA-VIN,MS-111
25,00170059,ALLOY-1/8 CERTANIUM 70F FLUX COATED HI STRENGTH,CERTANIUM,14280
26,00170059,ALLOY-1/8 CERTANIUM 70F FLUX COATED HI STRENGTH,COLONY INC,MG 130 FC
27,00170060,"ROD-WELDING CYROMIUM 5/32"" AWS-A5.3 E4043",GENERIC,CERTANIUM#608
28,00170061,"ROD-WELDING MILD STEEL 1/16"" AWS-A5.1-E6010",CERTANIUM,CERTANIUM-#100
29,00170063,ELECTRODE-SUPER STRENGTH NON-CRACKING 5/32,CERTANIUM,707
30,00170066,"ROD-WELD-CAST IRON 5 /32"" AWS-A5.15-EN1CRFE-5",CERTANIUM,889
31,00170067,CHAMFERING & GOUGING ROD 5/32,CERTANIUM,100-12010
32,00170067,CHAMFERING & GOUGING ROD 5/32,COLONY,MG-570
33,00170069,"ROD-WELDING STAIN STEEL 3/32"" AWS-A5.4-E312-16",CERTANIUM,709 NO 12410
34,00170069,"ROD-WELDING STAIN STEEL 3/32"" AWS-A5.4-E312-16",COLONY INC,MG650
35,00170069,"ROD-WELDING STAIN STEEL 3/32"" AWS-A5.4-E312-16",DA-VIN CO,NO KRACK 120
36,00170071,"ROD-WELD. CAST IRON 3/32"" AWS-A5.15-EN1CRFE-5(10#/",CERTANIUM,#889 NO 12770
37,00170071,"ROD-WELD. CAST IRON 3/32"" AWS-A5.15-EN1CRFE-5(10#/",COLONY INC,#MG210
