mbta_part_number,description,mfg,mfg_itm_id
00118006,"STEEL-5/16""ROUND POL ISHED DRILL ROD",HEATHCOTE,GRADE O-1
00118009,"DRILL ROD - 1/2"" ROU ND POLISHED STEEL",GENERIC,GRADE O-1
00170003,"ROD-WELDING-CARBON S TEEL 1/8""AWS-A5.18-ER70S-2",WELDERS,OX WELD 7
00170004,"ROD,EXTRACT ALLOY 3/ 32 (5LB. PACKAGE)",X-ERGON,L004-50000
00170005,"ROD, EXTRACT ALLOY 1 /8 (5 LB. PACKAGE)",X-ERGON,L004-4-0000
00170006,WIRE WELDING - 1/8 X  .660 NH TM AC/DC ELECTRODE,ALL WELD,#66XHD
00170009,"ROD-WELDING-MILD STE EL 1/8"" AWS-E6011",COLONY,"1/8"""
00170010,"ROD-WELDING, MILD ST EEL 3/32"" AWS-A5.1-E6011",ALL WELD,#230 ACP 611
00170011,"ROD-WELDING-CARBON S TEEL 3/32 "" AWS-A5.1 - E-7018",DA-VIN CO,MS1120
00170012,"ROD-WELDING,LOW HY-S TEEL 5/32"" AWS-A5.5 E8016-C1",DA-VIN CO,5/32-MS1140
00170035,"ROD-WELDING, COPPER  1/8"" AWS-A5.27-RCUZN-B",EUTECTIC,NO 146 FC
00170046,"ROD-WELDING-CAST IRO N 1/8""AWS-A5.15-ENIFE-15",CERTANIUM,#889 NO.12550
00170046,"ROD-WELDING-CAST IRO N 1/8""AWS-A5.15-ENIFE-15",COLONY INC,MG 289
00170046,"ROD-WELDING-CAST IRO N 1/8""AWS-A5.15-ENIFE-15",DA-VIN CO,CI-3100
00170046,"ROD-WELDING-CAST IRO N 1/8""AWS-A5.15-ENIFE-15",EUTECTIC,AC58110
00170050,"ELECTRODE-STAIN STEE L 1/8""AWS-A5.15-EN1CRFE-5",ALLSTATE,275
00170050,"ELECTRODE-STAIN STEE L 1/8""AWS-A5.15-EN1CRFE-5",CERTANIUM,707 NO. 12330
00170050,"ELECTRODE-STAIN STEE L 1/8""AWS-A5.15-EN1CRFE-5",COLONY INC,MG 600
00170050,"ELECTRODE-STAIN STEE L 1/8""AWS-A5.15-EN1CRFE-5",EUTECTIC,AS50110
00170051,"ELECTRODE-STAIN STEE L 3/32"" AWS-A5.4-E312-16",ALLOY,312
00170053,ROD 5/32 STEEL WELDI NG HOBART,GENERIC,6010
00170054,"ROD-WELDING-MILD STE EL 1/8"" AWS-A5.1 E6010",WELDERS,6010
00170057,"ROD-WELDING MILD STE EL 1/8"" AWS-A5.1-E6013 MSDS",DA-VIN,MS-1100
00170058,"ROD-WELDING MILD STE EL 5/32"" AWS-A5.1-E6011",CERTANIUM,701
00170058,"ROD-WELDING MILD STE EL 5/32"" AWS-A5.1-E6011",DA-VIN,MS-111
00170059,ALLOY-1/8 CERTANIUM  70F FLUX COATED HI STRENGTH,CERTANIUM,14280
00170059,ALLOY-1/8 CERTANIUM  70F FLUX COATED HI STRENGTH,COLONY INC,MG 130 FC
00170060,"ROD-WELDING CYROMIUM  5/32""AWS-A5.3 E4043",GENERIC,CERTANIUM#608
00170061,"ROD-WELDING MILD STE EL 1/16""AWS-A5.1-E6010",CERTANIUM,CERTANIUM-#100
00170063,ELECTRODE-SUPER STRE NGTH NON-CRACKING 5/32,CERTANIUM,707
00170066,"ROD-WELD-CAST IRON 5 /32"" AWS-A5.15-EN1CRFE-5",CERTANIUM,889
00170067,CHAMFERING & GOUGING  ROD 5/32,CERTANIUM,100-12010
00170067,CHAMFERING & GOUGING  ROD 5/32,COLONY,MG-570
00170069,"ROD-WELDING STAIN ST EEL 3/32"" AWS-A5.4-E312-16",CERTANIUM,709 NO 12410
00170069,"ROD-WELDING STAIN ST EEL 3/32"" AWS-A5.4-E312-16",COLONY INC,MG650
00170069,"ROD-WELDING STAIN ST EEL 3/32"" AWS-A5.4-E312-16",DA-VIN CO,NO KRACK 120
00170071,"ROD-WELD. CAST IRON  3/32"" AWS-A5.15-EN1CRFE-5(10#/",CERTANIUM,#889 NO 12770
00170071,"ROD-WELD. CAST IRON  3/32"" AWS-A5.15-EN1CRFE-5(10#/",COLONY INC,#MG210
00170071,"ROD-WELD. CAST IRON  3/32"" AWS-A5.15-EN1CRFE-5(10#/",EUTECTIC,AC58113
00170072,"ROD-WELDING-CARBON S TEEL-1/8""AWS-A5.1-E7018",CERTANIUM,705 NO 12370
00170072,"ROD-WELDING-CARBON S TEEL-1/8""AWS-A5.1-E7018",COLONY INC,MG 530
00170072,"ROD-WELDING-CARBON S TEEL-1/8""AWS-A5.1-E7018",J. YOUNG C,ED031734
00170072,"ROD-WELDING-CARBON S TEEL-1/8""AWS-A5.1-E7018",WELDERS SP,LINCOLN LH-70
00170074,"ROD-BRAZING BRZFC 3/32"" X36""X 10 LB AWS 5-8-92",ANCHOR,"100-BRZFC-3/32X36""X10LB"
00170074,"ROD-BRAZING BRZFC 3/32"" X36""X 10 LB AWS 5-8-92",CERTANIUM,#70F NO. 14270
00170074,"ROD-BRAZING BRZFC 3/32"" X36""X 10 LB AWS 5-8-92",MG WELDING PRODUCTS,MG 130 FC
00170074,"ROD-BRAZING BRZFC 3/32"" X36""X 10 LB AWS 5-8-92",RADNOR,64001631
00170076,ROD-BRAZING ELECTRD  1/8 DIA NEPTUNE/G #624 NASSAU,DA-YIN,BA-850
00170076,ROD-BRAZING ELECTRD  1/8 DIA NEPTUNE/G #624 NASSAU,NASSAU ALY,NEPTUNE 1G-624
00170083,"ROD-1/8""WELDING,LOW  ALLOY LOW HYDROGEN #E8016-C1",-----AIRCO,1318-3964
00170092,"ROD-WELDING ALUMINUM  3/32"" AWS-A5.3 E4043",GENERIC,2109
00170092,"ROD-WELDING ALUMINUM  3/32"" AWS-A5.3 E4043",GENERIC,608
